Spanish,English
de,of
que,what
no,no
a,a
la,the
el,he
y,and
es,is
en,in
lo,it
un,and
por,by
qué,that
me,me
una,a
los,the
se,with
te,the
con,with
para,for
está,it is
mi,me
pero,but
sí,Yeah
si,and
bien,good
eso,that
su,are
las,the
yo,they
del,of the
como,as
aquí,here
tu,that
al,al
más,further
le,the
esto,this
todo,all
ya,of
estoy,I'm
ahora,now
muy,very
ha,ha
esta,this
así,So
vamos,let's go
algo,something
hay,nice
bueno,Well
tengo,I have
él,he
cuando,when
estás,are
sé,see
tú,you
nos,us
nada,anything
cómo,as
este,It is
o,O
he,he
ser,to be
tiene,has
puedo,I can
ella,she
quiero,wanna
hacer,do
fue,was
gracias,thank you
vez,turn
era,era
soy,soy
sólo,only
todos,all
porque,why
son,son
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,so
hola,hello
solo,Alone
verdad,TRUE
casa,House
tan,tan
quién,who
sus,their
tiempo,time
dos,of the
esa,that
nunca,Never
dónde,where
va,and
oh,oh
favor,favor
mucho,a lot
mí,my
quieres,want
siento,I feel
señor,Sir
mejor,better
hace,does
has,has
decir,say
también,also
sobre,about
dios,God
sin,sin
tenemos,have
están,are
ti,of
puedes,can
ver,to see
hombre,man
vida,life
alguien,someone
cosas,things
siempre,always
hasta,until
ahí,there
ir,and
años,years
antes,before
estar,be
ni,in
poco,bit
día,day
uno,one
noche,evening
hecho,made
mis,what
estamos,we are
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,looks
gente,people
sea,sea
padre,father
mira,mira
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,could
hablar,talk
vas,your
ellos,they
sr.,sr.
tal,of
pasa,happens
fuera,out
después,after
han,he
desde,from
dinero,money
mundo,world
claro,Of course
momento,time
les,THE
tener,have
estado,state
otro,other
había,there was
mañana,tomorrow
tenía,had
madre,mother
vale,OK
lugar,place
haciendo,doing
donde,where
seguro,safe
sabe,he knows
podemos,we can
tus,the
espera,wait
nuevo,new
sido,been
cosa,What
hijo,son
allí,over there
menos,any less
tipo,type
amigo,friend
gran,great
nuestro,our
mujer,women
mamá,mother
luego,then
papá,dad
días,days
dice,dice
hoy,today
tres,three
buena,good
necesito,need
dije,said
oye,understand
gusta,like
quería,wanted to
será,it will be
haber,to have
parte,part
todas,all
crees,do you believe
buen,good
conmigo,with me
nombre,name
mierda,shit
nuestra,our
mal,just
debe,has to
realmente,really
estas,is
aún,still
mío,mine
toda,all
hacerlo,do it
cada,each
visto,view
importa,it matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,those
veces,times
serio,serious
ven,come
idea,idea
eh,eh
tarde,afternoon
problema,problem
hora,hour
cierto,TRUE
dicho,saying
quien,who
demasiado,too much
amor,love
entre,in between
ve,ve
pasado,past
familia,family
estos,these
policía,police
debería,ought
ustedes,you
chica,girl
esos,those
chicos,guys
cuenta,account
haces,you do
todavía,still
salir,go out
algún,some
vaya,Oh
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,think
sabía,knew
cabeza,head
ah,ah
cariño,dear
digo,I say
van,by
hombres,men
buenas,hello good
somos,are
cualquier,any
forma,form
mientras,while
lado,side
debo,I must
sería,I would be
caso,case
pueden,they can
pasó,passed
primera,first
genial,genial
chico,chico
supuesto,supposed
hice,I did
pues,well
adiós,bye
muchas,many
personas,people
señora,lady
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,manner
muerto,dead
persona,person
rápido,fast
cuál,which
ayuda,aid
historia,history
iba,others
supongo,i guess
nueva,new
entiendo,I understand
dentro,inside
casi,almost
puerta,door
ves,know
pasar,market
primero,first
significa,means
semana,week
hacia,toward
quizás,maybe
espero,expect
juntos,together
año,year
niños,children
pronto,ready
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,come
