,Spanish,English
0,de,of
1,que,what
2,no,no
3,a,a
4,la,the
5,el,he
6,y,and
7,es,is
8,en,in
9,lo,it
10,un,and
11,por,by
12,qué,that
13,me,me
14,una,a
15,los,the
16,se,with
17,te,the
18,con,with
19,para,for
20,está,it is
21,mi,me
22,pero,but
23,sí,Yeah
24,si,and
25,bien,good
26,eso,that
27,su,are
28,las,the
29,yo,they
30,del,of the
31,como,as
32,aquí,here
33,tu,that
34,al,al
35,más,further
36,le,the
37,esto,this
38,todo,all
39,ya,of
40,estoy,I'm
41,ahora,now
42,muy,very
43,ha,ha
44,esta,this
45,así,So
46,vamos,let's go
47,algo,something
48,hay,nice
49,bueno,Well
50,tengo,I have
51,él,he
52,cuando,when
53,estás,are
54,sé,see
55,tú,you
56,nos,us
57,nada,anything
58,cómo,as
59,este,It is
60,o,O
61,he,he
62,ser,to be
63,tiene,has
64,puedo,I can
65,ella,she
66,quiero,wanna
67,hacer,do
68,fue,was
69,gracias,thank you
70,vez,turn
71,era,era
72,soy,soy
73,sólo,only
74,todos,all
75,porque,why
76,son,son
77,tienes,have
78,creo,believe
79,voy,go
80,sabes,You know
81,estaba,was
82,puede,can
83,eres,are
84,ese,that
85,usted,you
86,entonces,so
87,hola,hello
88,solo,Alone
89,verdad,TRUE
90,casa,House
91,tan,tan
92,quién,who
93,sus,their
94,tiempo,time
95,dos,of the
96,esa,that
97,nunca,Never
98,dónde,where
99,va,and
100,oh,oh
101,favor,favor
102,mucho,a lot
103,mí,my
104,quieres,want
105,siento,I feel
106,señor,Sir
107,mejor,better
108,hace,does
109,has,has
110,decir,say
111,también,also
112,sobre,about
113,dios,God
114,sin,sin
115,tenemos,have
116,están,are
117,ti,of
118,puedes,can
119,ver,to see
120,hombre,man
121,vida,life
122,alguien,someone
123,cosas,things
124,siempre,always
125,hasta,until
126,ahí,there
127,ir,and
128,años,years
129,antes,before
130,estar,be
131,ni,in
132,poco,bit
133,día,day
134,uno,one
135,noche,evening
136,hecho,made
137,mis,what
138,estamos,we are
139,otra,other
140,acuerdo,agreement
141,trabajo,job
142,nosotros,us
143,parece,looks
144,gente,people
145,sea,sea
146,padre,father
147,mira,mira
148,mismo,same
149,dijo,said
150,nadie,nobody
151,quiere,wants
152,podría,could
153,hablar,talk
154,vas,your
155,ellos,they
156,sr.,sr.
157,tal,of
158,pasa,happens
159,fuera,out
160,después,after
161,han,he
162,desde,from
163,dinero,money
164,mundo,world
165,claro,Of course
166,momento,time
167,les,THE
168,tener,have
169,estado,state
170,otro,other
171,había,there was
172,mañana,tomorrow
173,tenía,had
174,madre,mother
175,vale,OK
176,lugar,place
177,haciendo,doing
178,donde,where
179,seguro,safe
180,sabe,he knows
181,podemos,we can
182,tus,the
183,espera,wait
184,nuevo,new
185,sido,been
186,cosa,What
187,hijo,son
188,allí,over there
189,menos,any less
190,tipo,type
191,amigo,friend
192,gran,great
193,nuestro,our
194,mujer,women
195,mamá,mother
196,luego,then
197,papá,dad
198,días,days
199,dice,dice
200,hoy,today
201,tres,three
202,buena,good
203,necesito,need
204,dije,said
205,oye,understand
206,gusta,like
207,quería,wanted to
208,será,it will be
209,haber,to have
210,parte,part
211,todas,all
212,crees,do you believe
213,buen,good
214,conmigo,with me
215,nombre,name
216,mierda,shit
217,nuestra,our
218,mal,just
219,debe,has to
220,realmente,really
221,estas,is
222,aún,still
223,mío,mine
224,toda,all
225,hacerlo,do it
226,cada,each
227,visto,view
228,importa,it matters
229,contigo,with you
230,tienen,have
231,hemos,we have
232,razón,reason
233,alguna,some
234,tanto,so much
235,saber,to know
236,hizo,those
237,veces,times
238,serio,serious
239,ven,come
240,idea,idea
241,eh,eh
242,tarde,afternoon
243,problema,problem
244,hora,hour
245,cierto,TRUE
246,dicho,saying
247,quien,who
248,demasiado,too much
249,amor,love
250,entre,in between
251,ve,ve
252,pasado,past
253,familia,family
254,estos,these
255,policía,police
256,debería,ought
257,ustedes,you
258,chica,girl
259,esos,those
260,chicos,guys
261,cuenta,account
262,haces,you do
263,todavía,still
264,salir,go out
265,algún,some
266,vaya,Oh
267,unos,some
268,veo,I see
269,amigos,friends
270,hermano,brother
271,pensé,think
272,sabía,knew
273,cabeza,head
274,ah,ah
275,cariño,dear
276,digo,I say
277,van,by
278,hombres,men
279,buenas,hello good
280,somos,are
281,cualquier,any
282,forma,form
283,mientras,while
284,lado,side
285,debo,I must
286,sería,I would be
287,caso,case
288,pueden,they can
289,pasó,passed
290,primera,first
291,genial,genial
292,chico,chico
293,supuesto,supposed
294,hice,I did
295,pues,well
296,adiós,bye
297,muchas,many
298,personas,people
299,señora,lady
300,volver,return
301,esas,those
302,quizá,maybe
303,contra,against
304,camino,path
305,durante,during
306,hablando,talking
307,manera,manner
308,muerto,dead
309,persona,person
310,rápido,fast
311,cuál,which
312,ayuda,aid
313,historia,history
314,iba,others
315,supongo,i guess
316,nueva,new
317,entiendo,I understand
318,dentro,inside
319,casi,almost
320,puerta,door
321,ves,know
322,pasar,market
323,primero,first
324,significa,means
325,semana,week
326,hacia,toward
327,quizás,maybe
328,espero,expect
329,juntos,together
330,año,year
331,niños,children
332,pronto,ready
333,tío,uncle
334,suerte,luck
335,ciudad,city
336,siquiera,even
337,feliz,happy
338,venir,come
339,hija,is
340,gustaría,would like
341,minutos,minutes
342,cuánto,how much
343,os,you
344,hey,hey
345,muerte,death
346,dejar,leave
347,realidad,reality
348,deja,already
349,problemas,problems
350,vi,we
351,da,and
352,importante,important
353,dijiste,said
354,corazón,heart
355,miedo,fear
356,jefe,boss
357,agua,water
358,haré,I will do
359,justo,fair
360,horas,hours
361,poder,can
362,buenos,good
363,esposa,wife
364,manos,hands
365,debes,you must
366,viene,he comes
367,venga,come
368,nuestros,our
369,ojos,eyes
370,adelante,forward
371,encontrar,meet
372,mano,thousand
373,cinco,five
374,niño,child
375,ninguna,none
376,otros,others
377,cara,method
378,cuidado,Careful
379,bajo,low
380,cerca,fence
381,viejo,old
382,déjame,let me
383,noches,nights
384,bastante,quite
385,fin,END
386,tomar,to take
387,único,single
388,misma,same
389,escucha,listen
390,ningún,none
391,suficiente,enough
392,punto,point
393,cuándo,when
394,sigue,go on
395,haya,these
396,equipo,equipment
397,grande,big
398,necesita,needs
399,llegar,arrive
400,incluso,even
401,algunos,some
402,doctor,doctor
403,difícil,difficult
404,aunque,although
405,hubiera,had
406,primer,first
407,coche,coach
408,hago,do
409,clase,class
410,cuatro,four
411,mas,but
412,dices,you say
413,pequeño,little
414,llama,calls
415,toma,take
416,hiciste,did
417,allá,there
418,última,last
419,arriba,above
420,tierra,land
421,guerra,war
422,pensar,think
423,pueda,can
424,igual,equal
425,loco,instead
426,sangre,blood
427,mujeres,women
428,vuelta,lap
429,fui,I went
430,trabajar,work
431,tenido,had
432,juego,game
433,deberías,you should
434,cuerpo,body
435,e,It is
436,algunas,some
437,entrar,to enter
438,cree,believe
439,podía,could
440,debemos,must
441,oportunidad,chance
442,teléfono,telephone
443,necesitamos,we need
444,final,final
445,listo,a list
446,fiesta,fiesta
447,muchos,many
448,estabas,you were
449,quieren,they want
450,vete,OWN
451,auto,auto
452,dar,but
453,vivir,live
454,posible,possible
455,ok,ok
456,hermana,sister
457,número,number
458,meses,months
459,exactamente,exactly
460,culpa,fault
461,abajo,below
462,escuela,school
463,ido,eye
464,fuerte,strong
465,diciendo,saying
466,habla,speaks
467,esté,this
468,ello,it
469,pregunta,ask
470,chicas,girls
471,eran,were
472,unas,nails
473,pasando,going
474,atrás,back
475,malo,place
476,capitán,captain
477,sra.,sra.
478,bebé,baby
479,segundo,second
480,sabemos,we know
481,mayor,mayor
482,comida,food
483,morir,to die
484,conozco,know
485,dame,dame
486,fácil,easy
487,comer,eat
488,vino,wine
489,lista,list
490,haga,make
491,necesitas,you need
492,hijos,children
493,probablemente,probably
494,padres,parents
495,habitación,room
496,creer,believe
497,pensando,thinking
498,fueron,were
499,dime,dime
500,trata,treats
501,buscando,seeking out
502,tuve,I had
503,tampoco,neither
504,amo,amo
505,joven,young
506,podrías,could you
507,sola,alone
508,par,about
509,única,only
510,hacen,do
511,seguir,follow
512,dr.,dr.
513,simplemente,simply
514,dicen,they say
515,medio,half
516,puta,out
517,saben,per
